Men,Women,Total,Tendency
3,15,18,NA
0,5,5,NA
261,766,1027,women
2,17,19,NA
2,11,13,NA
3,10,13,NA
3,4,7,NA
31,90,121,women
11,4,15,NA
8,14,22,NA
1,37,38,women
3,16,19,NA
0,2,2,NA
1,10,11,NA
0,1,1,NA
5,5,10,NA
2,6,8,NA
12,23,35,women
1,0,1,NA
4,11,15,NA
1,0,1,NA
17,39,56,women
5,15,20,NA
0,1,1,NA
4,30,34,women
0,11,11,NA
3,0,3,NA
2,5,7,NA
9,30,39,women
0,1,1,NA
26,37,63,women
0,2,2,NA
36,21,57,men
0,1,1,NA
47,53,100,NA
0,2,2,NA
0,1,1,NA
53,281,334,women
0,1,1,NA
14,79,93,women
25,34,59,women
562,806,1368,women
3,126,129,women
371,751,1122,women
44,90,134,women
75,74,149,NA
138,217,355,women
230,186,416,men
4,3,7,NA
166,403,569,women
68,76,144,NA
5,4,9,NA
15,20,35,women
27,24,51,NA
55,661,716,women
6,0,6,NA
7,164,171,women
15,60,75,women
163,230,393,women
139,104,243,men
5,24,29,NA
818,891,1709,NA
4,140,144,women
21,28,49,women
384,655,1039,women
137,211,348,women
241,283,524,NA
11,14,25,NA
17,11,28,NA
2,0,2,NA
28,36,64,women
95,193,288,women
6,20,26,NA
196,535,731,women
83,101,184,NA
14,22,36,women
0,1,1,NA
1,1,2,NA
1,1,2,NA
48,243,291,women
41,34,75,NA
44,41,85,NA
8,11,19,NA
26,51,77,women
22,30,52,women
166,115,281,men
4,17,21,NA
11,11,22,NA
29,101,130,women
41,54,95,women
41,34,75,NA
17,21,38,women
95,426,521,women
7,12,19,NA
2,17,19,NA
1,3,4,NA
3,2,5,NA
0,2,2,NA
7,5,12,NA
514,1523,2037,women
103,39,142,men
22,15,37,men
9,21,30,women
1,1,2,NA
13,7,20,NA
9,13,22,NA
27,14,41,men
364,260,624,men
79,74,153,NA
56,11,67,men
77,88,165,NA
4,2,6,NA
173,118,291,men
0,5,5,NA
94,337,431,women
33,614,647,women
0,1,1,NA
2,3,5,NA
19,86,105,women
0,7,7,NA
140,301,441,women
13,9,22,NA
0,1,1,NA
121,561,682,women
22,45,67,women
1,7,8,NA
0,2,2,NA
1,11,12,NA
1,14,15,NA
30,72,102,women
0,4,4,NA
1,0,1,NA
1,0,1,NA
0,1,1,NA
3,4,7,NA
1,1,2,NA
13,37,50,women
0,27,27,NA
4,7,11,NA
1,0,1,NA
389,768,1157,women
98,219,317,women
0,6,6,NA
3,6,9,NA
1724,3988,5712,women
99,3,102,men
3,8,11,NA
1,9,10,NA
78,204,282,women
1,10,11,NA
74,93,167,women
3,8,11,NA
8,9,17,NA
28,116,144,women
26,41,67,women
56,154,210,women
12,102,114,women
4,7,11,NA
40,5,45,men
90,225,315,women
8,15,23,NA
78,0,78,men
72,146,218,women
5,18,23,NA
9,17,26,NA
1,0,1,NA
7,11,18,NA
42,50,92,NA
15,18,33,NA
23,26,49,NA
17,43,60,women
5,11,16,NA
5,7,12,NA
26,41,67,women
13,0,13,NA
9,37,46,women
2,6,8,NA
0,2,2,NA
0,13,13,NA
28,55,83,women
45,81,126,women
7,20,27,NA
57,198,255,women
20,56,76,women
43,70,113,women
6,9,15,NA
0,1,1,NA
0,17,17,NA
0,3,3,NA
1,0,1,NA
94,144,238,women
0,1,1,NA
0,1,1,NA
1,0,1,NA
1,2,3,NA
0,1,1,NA
2,3,5,NA
10,32,42,women
0,1,1,NA
1,0,1,NA
2,0,2,NA
0,1,1,NA
4,7,11,NA
5,4,9,NA
2,1,3,NA
0,1,1,NA
5,12,17,NA
4,1,5,NA
0,6,6,NA
1,0,1,NA
12,56,68,women
8,7,15,NA
10,20,30,women
2,2,4,NA
4,4,8,NA
5,15,20,NA
1,0,1,NA
0,3,3,NA
0,5,5,NA
0,1,1,NA
1,6,7,NA
0,3,3,NA
0,4,4,NA
1,0,1,NA
1,2,3,NA
0,1,1,NA
2,7,9,NA
0,1,1,NA
0,1,1,NA
1,2,3,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
1,0,1,NA
0,1,1,NA
0,1,1,NA
2,1,3,NA
11,20,31,women
58,57,115,NA
43,41,84,NA
0,1,1,NA
0,1,1,NA
1,2,3,NA
1,0,1,NA
6,10,16,NA
2,3,5,NA
1,5,6,NA
8,34,42,women
4,2,6,NA
3,1,4,NA
18,13,31,men
0,9,9,NA
120,173,293,women
1,1,2,NA
0,1,1,NA
1,0,1,NA
2,2,4,NA
0,1,1,NA
1,0,1,NA
49,89,138,women
0,2,2,NA
12,25,37,women
21,1,22,NA
0,1,1,NA
82,145,227,women
1,3,4,NA
8,23,31,women
0,3,3,NA
0,2,2,NA
76,61,137,men
5,2,7,NA
6,26,32,women
29,36,65,women
217,442,659,women
6,11,17,NA
2,2,4,NA
40,156,196,women
3,5,8,NA
17,12,29,NA
1,0,1,NA
6,13,19,NA
0,1,1,NA
2,35,37,women
1,3,4,NA
0,1,1,NA
1,0,1,NA
1,4,5,NA
3,1,4,NA
0,1,1,NA
1,0,1,NA
2,3,5,NA
2,0,2,NA
4,1,5,NA
0,2,2,NA
28,369,397,women
0,1,1,NA
1,4,5,NA
1,1,2,NA
1,0,1,NA
0,3,3,NA
0,1,1,NA
2,4,6,NA
16,10,26,NA
21,37,58,women
0,1,1,NA
24,49,73,women
52,22,74,men
2,2,4,NA
208,104,312,men
1949,5366,7315,women
0,4,4,NA
10,13,23,NA
1,28,29,NA
367,344,711,NA
278,474,752,women
226,323,549,women
4,11,15,NA
1,2,3,NA
0,1,1,NA
0,1,1,NA
0,2,2,NA
2,3,5,NA
8,1,9,NA
4,6,10,NA
14,70,84,women
5,3,8,NA
0,2,2,NA
1,3,4,NA
